Application/Permit Number,Category,Permit Type,Action Type
6578806,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6409682,,Site Development,SHORELINE EXEMPTION ONLY
6612768,,Site Development,TREE/VEGETATION MAINT/RESTORE
6529715,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6437770,SINGLE FAMILY / DUPLEX,Construction,NEW
6587356,MULTIFAMILY,Demolition,DEMOLITION
6580399,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6564726,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6524389,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618378,COMMERCIAL,Construction,ADD/ALT
6584946,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6604861,COMMERCIAL,Construction,ADD/ALT
6572385,COMMERCIAL,Construction,NEW
6465204,SINGLE FAMILY / DUPLEX,Construction,NEW
6578362,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6550868,COMMERCIAL,Construction,ADD/ALT
6618072,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6538451,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575287,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6591399,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6543549,MULTIFAMILY,Construction,ADD/ALT
6564591,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6604620,SINGLE FAMILY / DUPLEX,Construction,NEW
6578431,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6484749,COMMERCIAL,Construction,ADD/ALT
6414455,MULTIFAMILY,Construction,NEW
6617474,SINGLE FAMILY / DUPLEX,Construction,NEW
6578415,COMMERCIAL,Construction,ADD/ALT
6578406,COMMERCIAL,Construction,ADD/ALT
6578407,COMMERCIAL,Construction,ADD/ALT
6578358,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578389,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578385,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578340,MULTIFAMILY,Construction,ADD/ALT
6407815,MULTIFAMILY,Construction,NEW
6549306,INDUSTRIAL,Construction,ADD/ALT
6585035,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574698,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575518,COMMERCIAL,Construction,ADD/ALT
6554827,COMMERCIAL,Construction,ADD/ALT
6578737,COMMERCIAL,Construction,ADD/ALT
6578296,COMMERCIAL,Construction,ADD/ALT
6479235,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6575794,,Site Development,TREE/VEGETATION MAINT/RESTORE
6498022,COMMERCIAL,Construction,ADD/ALT
6516363,SINGLE FAMILY / DUPLEX,Construction,NEW
6578216,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618332,COMMERCIAL,Construction,ADD/ALT
6619468,COMMERCIAL,Construction,ADD/ALT
6577058,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574591,MULTIFAMILY,Construction,NEW
6604396,COMMERCIAL,Construction,ADD/ALT
6563458,MULTIFAMILY,Construction,NEW
6577721,MULTIFAMILY,Demolition,DEMOLITION
6528641,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6254445,COMMERCIAL,Construction,ADD/ALT
6528588,COMMERCIAL,Construction,NEW
6614008,SINGLE FAMILY / DUPLEX,Construction,NEW
6467866,COMMERCIAL,Demolition,DEMOLITION
6567133,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618567,COMMERCIAL,Construction,ADD/ALT
6585913,MULTIFAMILY,Construction,ADD/ALT
6586529,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578024,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6491441,SINGLE FAMILY / DUPLEX,Construction,NEW
6619448,COMMERCIAL,Construction,ADD/ALT
6616392,COMMERCIAL,Construction,ADD/ALT
6563966,MULTIFAMILY,Demolition,DEMOLITION
6591282,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6497437,SINGLE FAMILY / DUPLEX,Construction,NEW
6520047,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6577924,COMMERCIAL,Construction,ADD/ALT
6617533,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6605403,MULTIFAMILY,Construction,ADD/ALT
6577736,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6590999,COMMERCIAL,Construction,ADD/ALT
6577497,MULTIFAMILY,Demolition,DEMOLITION
6577690,COMMERCIAL,Construction,ADD/ALT
6596629,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6618707,MULTIFAMILY,Construction,ADD/ALT
6551928,MULTIFAMILY,Construction,NEW
6619245,SINGLE FAMILY / DUPLEX,Construction,NEW
6452602,SINGLE FAMILY / DUPLEX,Construction,NEW
6604468,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
